ID,StreetNumber,StreetName,AdditionalLocationInformation,Category,BuildingNameSpecifics,EvaluationGroup,MunicipalDesignationM,ProvincialDesignationP,HeritageRevitalizationAgreementH,InteriorDesignationI,LandscapeDesignationL,HeritageConservationAreaCA,HeritageConservationCovenantHC,FederalDesignationF,Status,DateofLastUpdate,LocalArea,Geom,geo_point_2d
2612,N/A,N/A,DhRt 31,ARCHAEOLOGICAL SITES,Isolated Find,N/A,No,No,No,No,No,No,No,No,Active,2020-10-14T16:43:00-07:00,,,
7,289,ABBOTT ST,None,HERITAGE BUILDINGS,"Cook Block,105-109 W Cordova  B(M)",N/A,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10699504985779, 49.28314723944889], ""type"": ""Point""}","49.28314723944889, -123.10699504985779"
48,1-7,ALEXANDER ST,None,HERITAGE BUILDINGS,"Dunn Block (1900), 1 Alexander",A,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10395576801204, 49.28368853500464], ""type"": ""Point""}","49.28368853500464, -123.10395576801204"
63,1526,ANGUS DR,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,Yes,No,No,Active,2020-09-18T10:18:45-07:00,Shaughnessy,"{""coordinates"": [-123.1398245525745, 49.2539805858937], ""type"": ""Point""}","49.2539805858937, -123.1398245525745"
84,603,ATLANTIC ST,None,HERITAGE BUILDINGS,Peneway House (1904),C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Strathcona,"{""coordinates"": [-123.09151330207278, 49.276009385280965], ""type"": ""Point""}","49.276009385280965, -123.09151330207278"
107,6885,BALSAM ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kerrisdale,"{""coordinates"": [-123.16193843403735, 49.223344319905046], ""type"": ""Point""}","49.223344319905046, -123.16193843403735"
123,1949,BEACH AV,None,HERITAGE BUILDINGS,Beach Town House Apartments,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.14339529359806, 49.28929252346481], ""type"": ""Point""}","49.28929252346481, -123.14339529359806"
135,849-857,BEATTY ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.11510510635745, 49.27712460297305], ""type"": ""Point""}","49.27712460297305, -123.11510510635745"
149,5503,BLENHEIM ST,None,HERITAGE BUILDINGS,Morrisette Farmhouse,B,No,No,Yes,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Dunbar-Southlands,"{""coordinates"": [-123.1790955177142, 49.236708413453265], ""type"": ""Point""}","49.236708413453265, -123.1790955177142"
151,6476,BLENHEIM ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kerrisdale,"{""coordinates"": [-123.1783751037037, 49.22774613907538], ""type"": ""Point""}","49.22774613907538, -123.1783751037037"
175,925,BUTE ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.12959241143315, 49.284532823409705], ""type"": ""Point""}","49.284532823409705, -123.12959241143315"
209,1074,CARDERO ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,Yes,No,Active,2021-03-01T10:18:44-08:00,West End,"{""coordinates"": [-123.13672944653537, 49.28624313755354], ""type"": ""Point""}","49.28624313755354, -123.13672944653537"
222,2721,CAROLINA ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Mount Pleasant,"{""coordinates"": [-123.09136701325993, 49.26026921822536], ""type"": ""Point""}","49.26026921822536, -123.09136701325993"
235,202-206,CARRALL ST,None,HERITAGE BUILDINGS,Filion Block,C,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10389365370378, 49.28299583376168], ""type"": ""Point""}","49.28299583376168, -123.10389365370378"
242,328-334,CARRALL ST,None,HERITAGE BUILDINGS,N/A,N/A,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10412695306277, 49.281793033433644], ""type"": ""Point""}","49.281793033433644, -123.10412695306277"
260,2086-2088,CHARLES ST,None,HERITAGE BUILDINGS,Carlsen House,B,Yes,No,Yes,No,No,No,No,No,Active,2022-11-18T10:18:45-08:00,Grandview-Woodland,"{""coordinates"": [-123.06210286711308, 49.27282257807387], ""type"": ""Point""}","49.27282257807387, -123.06210286711308"
295,1616-1620,COMMERCIAL DR,None,HERITAGE BUILDINGS,Cozy Apartments,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Grandview-Woodland,"{""coordinates"": [-123.0692623740264, 49.270189344854806], ""type"": ""Point""}","49.270189344854806, -123.0692623740264"
311,1164,COMOX ST,None,HERITAGE BUILDINGS,Bowser House,A,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.13093286502885, 49.28261609005211], ""type"": ""Point""}","49.28261609005211, -123.13093286502885"
316,1550,COMOX ST,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West End,"{""coordinates"": [-123.13648568861535, 49.28621140830623], ""type"": ""Point""}","49.28621140830623, -123.13648568861535"
